The result is:
('Action', 3.158532929451071, 1175)
('Adventure', 3.1687090625255814, 707)
('Animation', 3.1758854560200147, 223)
('Comedy', 3.1370494677399536, 2113)
('Crime', 3.162583937888232, 907)
('Documentary', 3.0742356093239853, 503)
('Drama', 3.1391216242914504, 3724)
('Family', 3.1569054919202837, 386)
('Fantasy', 3.1429135219007014, 463)
('Foreign', 3.1139858344079143, 271)
('History', 3.1187910458495414, 306)
('Horror', 3.1340202623924758, 723)
('Music', 3.1890477821347667, 248)
('Mystery', 3.1487693926555482, 475)
('Romance', 3.1562777018393633, 1206)
('Science Fiction', 3.157163683913988, 593)
('TV Movie', 3.148118069220998, 87)
('Thriller', 3.1482817481660916, 1427)
('War', 3.1146633826061416, 231)
('Western', 3.2140607181871013, 185)
Time execution of query is:
52.386414527893066
